word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
tourist;2121;6.18;14.241;--;--;4909;--
tournament;2122;6.18;13.805;4861;--;1498;--
trade;2123;6.18;10.039;2025;478;500;2092
trains;2124;6.18;13.200;4884;--;3460;3945
tune;2125;6.18;14.241;1082;--;--;1380
victor;2126;6.18;17.225;--;--;2976;--
walking;2127;6.18;15.609;1024;2730;2452;546
wireless;2128;6.18;15.996;3034;--;4873;--
www;2129;6.18;15.609;--;2721;--;--
yea;2130;6.18;16.744;549;--;--;634
beds;2131;6.17;17.177;--;4360;--;--
preference;2132;6.17;0.9964;--;3923;--;--
applying;2133;6.16;11.609;--;4078;--;--
crop;2134;6.16;12.474;--;3654;--;--
enable;2135;6.16;11.963;--;2919;--;--
interactions;2136;6.16;11.609;--;3677;--;--
narrative;2137;6.16;12.410;--;2315;--;--
railway;2138;6.16;13.439;--;2633;--;--
afford;2139;6.16;12.349;3249;3226;2845;2543
allowing;2140;6.16;10.947;--;3417;2690;--
automobile;2141;6.16;13.756;--;--;4650;--
bands;2142;6.16;14.619;3045;4415;--;4687
boys;2143;6.16;12.349;689;1373;2205;471
cds;2144;6.16;12.014;4913;--;--;--
christ;2145;6.16;23.067;2509;909;4238;1526
dictionary;2146;6.16;15.696;--;4987;--;--
downloads;2147;6.16;11.314;4476;--;--;--
eagles;2148;6.16;14.479;3861;--;--;--
engaged;2149;6.16;19.625;3854;1823;4277;--
especially;2150;6.16;10.174;1021;429;946;3471
fiction;2151;6.16;14.337;--;3194;2869;4332
grocery;2152;6.16;17.304;2511;--;--;--
hotel;2153;6.16;15.954;523;2465;981;1826
houses;2154;6.16;16.333;4326;1272;1658;3617
hubby;2155;6.16;17.186;1757;--;--;--
included;2156;6.16;12.993;4105;966;316;--
lemon;2157;6.16;13.456;3548;--;--;--
mellow;2158;6.16;15.301;--;--;--;4082
minds;2159;6.16;12.349;2803;2308;4217;1181
my;2160;6.16;12.835;10;64;115;8
own;2161;6.16;19.205;367;119;222;222
pacific;2162;6.16;11.843;4244;2463;1915;--
people;2163;6.16;15.826;52;102;66;179
planning;2164;6.16;14.619;1265;1180;1301;--
polish;2165;6.16;13.903;--;3961;4346;--
premium;2166;6.16;14.479;4532;--;--;--
providing;2167;6.16;12.014;--;2061;2448;--
readers;2168;6.16;12.349;4904;2386;1946;--
rocked;2169;6.16;14.479;4269;--;--;3398
sausage;2170;6.16;18.223;4768;--;--;--
south;2171;6.16;16.081;833;370;311;927
transportation;2172;6.16;16.826;--;3076;1489;--
turkey;2173;6.16;18.111;1598;4657;3892;--
wed;2174;6.16;18.223;2861;--;--;--
wheels;2175;6.16;12.182;--;--;--;1617
woods;2176;6.16;13.303;1836;3349;3262;2884
yacht;2177;6.16;13.607;--;--;4034;--
livin;2178;6.15;15.977;--;--;--;1425
believing;2179;6.14;15.275;--;--;--;2043
chemistry;2180;6.14;13.994;--;4059;--;--
continuous;2181;6.14;11.365;--;2144;--;--
persons;2182;6.14;12.748;--;654;--;--
seed;2183;6.14;13.844;--;3286;--;1996
sheep;2184;6.14;15.411;--;3481;--;2719
successive;2185;6.14;14.142;--;4298;--;--
adult;2186;6.14;13.403;1676;1975;2854;--
amsterdam;2187;6.14;14.984;--;--;1381;--
arises;2188;6.14;11.068;--;3915;--;--
arrived;2189;6.14;13.999;1857;1338;2195;3679
asleep;2190;6.14;17.498;847;--;--;1349
aviation;2191;6.14;13.403;--;--;4334;--
basketball;2192;6.14;20.899;1786;--;257;--
browser;2193;6.14;10.304;4300;--;--;--
cathedral;2194;6.14;15.520;--;--;3381;--
cd;2195;6.14;13.554;1149;4375;--;3581
cheek;2196;6.14;15.909;--;--;--;2611
combination;2197;6.14;11.430;--;1825;3366;--
conscious;2198;6.14;13.852;--;2350;--;--
cricket;2199;6.14;16.164;4797;--;--;--
debut;2200;6.14;12.618;4589;--;3312;--
dividends;2201;6.14;15.520;--;--;4378;--
drinking;2202;6.14;17.144;876;3389;4197;1665
elizabeth;2203;6.14;17.263;--;2703;801;--
eye;2204;6.14;14.287;978;953;1998;494
generate;2205;6.14;11.608;--;4632;--;--
granted;2206;6.14;18.071;--;2026;3398;2604
guests;2207;6.14;13.852;4781;4803;3521;--
huge;2208;6.14;17.025;787;2621;1646;--
jumping;2209;6.14;15.780;3922;--;--;3011
kindle;2210;6.14;12.456;3751;--;--;--
launches;2211;6.14;11.250;3285;--;--;--
mend;2212;6.14;12.124;--;--;--;2645
models;2213;6.14;15.780;3720;1466;3009;--
mutual;2214;6.14;11.068;--;2665;1860;--
offered;2215;6.14;13.999;4154;1207;969;--
places;2216;6.14;11.608;1706;918;1722;1058
plan;2217;6.14;12.779;659;624;353;853
principles;2218;6.14;13.999;--;855;4371;--
recovering;2219;6.14;13.095;4669;--;--;--
respectively;2220;6.14;12.124;--;2109;1195;--
restore;2221;6.14;11.608;--;4932;3990;--
ride;2222;6.14;13.852;867;3964;3078;280
rock;2223;6.14;12.938;289;1616;1306;232
shirts;2224;6.14;10.304;3515;--;--;--
sony;2225;6.14;13.554;2856;--;--;--
strategies;2226;6.14;14.429;--;2655;4043;--
strongly;2227;6.14;12.779;--;2030;3181;--
temple;2228;6.14;14.144;--;1892;1568;3427
thousands;2229;6.14;10.692;3074;2342;1406;4044
tonight;2230;6.14;13.403;139;--;855;180
trail;2231;6.14;11.430;4521;4380;3674;2478
twin;2232;6.14;12.938;3230;--;4564;4916
up;2233;6.14;15.254;34;72;69;31
updates;2234;6.14;12.124;1506;--;--;--
vagina;2235;6.14;18.071;3341;--;--;--
yahoo;2236;6.14;17.380;2008;--;--;--
receives;2237;6.13;14.237;--;4559;--;--
exclusively;2238;6.12;14.385;--;3821;--;--
writings;2239;6.12;16.964;--;2608;--;--
destiny;2240;6.12;14.525;--;--;--;1233
outcomes;2241;6.12;14.381;--;4580;--;--
quicker;2242;6.12;11.481;--;--;--;4042
boulevard;2243;6.12;12.558;--;--;2799;4033
chapels;2244;6.12;13.192;--;--;3734;--
consideration;2245;6.12;12.720;--;1410;4125;--
digital;2246;6.12;14.234;1384;4385;2778;--
dish;2247;6.12;14.090;4457;--;--;--
eat-in;2248;6.12;11.542;--;--;--;--
ensure;2249;6.12;13.649;--;2634;--;--
event;2250;6.12;16.492;538;1240;1189;--
everyone;2251;6.12;12.229;205;1731;998;516
face;2252;6.12;11.718;267;393;774;160
focus;2253;6.12;10.622;1707;1586;1534;2712
funds;2254;6.12;18.254;4847;2005;717;--
garlic;2255;6.12;16.616;4697;--;--;--
investing;2256;6.12;15.471;--;--;2876;--
keyboard;2257;6.12;13.944;3188;--;--;--
knows;2258;6.12;0.8953;868;1620;1535;379
leaf;2259;6.12;13.944;--;4060;--;3634
males;2260;6.12;14.658;--;3752;--;--
maps;2261;6.12;11.542;4437;4259;--;--
masters;2262;6.12;13.346;--;3681;4758;--
networking;2263;6.12;12.558;1623;--;--;--
nursing;2264;6.12;14.658;4640;2793;3126;--
patiently;2265;6.12;15.070;--;--;--;4173
proceeded;2266;6.12;13.346;--;3607;--;--
proceeding;2267;6.12;13.944;--;4728;--;--
profession;2268;6.12;11.183;--;3106;--;--
robot;2269;6.12;13.192;3494;--;--;3519
snowing;2270;6.12;21.631;2239;--;--;--
studied;2271;6.12;13.037;--;1741;3458;--
study;2272;6.12;16.243;1017;264;771;4835
theme;2273;6.12;11.718;1526;2749;3197;--
toward;2274;6.12;11.364;4278;538;793;4074
traditional;2275;6.12;16.980;4684;1188;1710;--
treasurer;2276;6.12;15.205;--;--;4404;--
university's;2277;6.12;14.518;--;--;--;--
v-day;2278;6.12;15.070;--;--;--;--
very;2279;6.12;18.913;129;84;166;447
voted;2280;6.12;12.558;754;--;1964;--
wii;2281;6.12;15.990;1368;--;--;--
waving;2282;6.11;14.481;--;--;--;4424
extending;2283;6.1;12.588;--;4056;--;--
readily;2284;6.1;14.475;--;2216;--;--
mirrors;2285;6.1;13.423;--;--;--;4612
nearer;2286;6.1;11.769;--;4917;--;--
nurses;2287;6.1;19.175;--;4844;--;--
preserved;2288;6.1;14.030;--;3119;--;--
senses;2289;6.1;14.895;--;3885;--;2397
aah;2290;6.1;15.811;--;--;--;2654
acknowledged;2291;6.1;14.321;--;4132;2262;--
beers;2292;6.1;22.246;4358;--;--;--
bentley;2293;6.1;16.933;--;--;--;4905
brazil;2294;6.1;13.590;2653;4776;3211;--
cattle;2295;6.1;13.887;--;2819;--;--
challenging;2296;6.1;15.419;--;--;--;--
check;2297;6.1;15.286;204;1852;2321;509
chili;2298;6.1;18.544;3395;--;--;--
citizens;2299;6.1;15.152;--;1655;1879;--
collection;2300;6.1;10.738;1963;1331;1187;--
comprehend;2301;6.1;15.940;--;--;--;4858
customers;2302;6.1;10.926;2822;3513;1392;--
elected;2303;6.1;14.178;--;2297;1527;--
electricity;2304;6.1;16.194;--;4404;4177;--
enters;2305;6.1;12.817;--;4737;--;--
essence;2306;6.1;11.473;--;3357;--;4730
fab;2307;6.1;15.152;2945;--;--;--
forthcoming;2308;6.1;10.738;--;--;3871;--
forward;2309;6.1;0.8391;590;1029;1253;2058
guide;2310;6.1;11.650;1322;1805;2121;1555
herself;2311;6.1;11.112;3218;1022;2384;2491
increasingly;2312;6.1;13.439;--;2456;2504;--
info;2313;6.1;12.657;923;--;--;--
investments;2314;6.1;16.690;--;--;2438;--
justification;2315;6.1;13.439;--;4704;--;--
karaoke;2316;6.1;19.086;4752;--;--;--
keeping;2317;6.1;11.112;1599;1967;2052;1382
know;2318;6.1;13.887;64;153;215;25
launched;2319;6.1;10.351;3938;--;--;--
life's;2320;6.1;13.887;--;--;--;--
madame;2321;6.1;16.320;--;4345;--;--
markets;2322;6.1;11.650;3822;2337;548;--
moments;2323;6.1;11.112;2767;3124;2846;1848
nike;2324;6.1;13.887;4828;--;--;--
november;2325;6.1;13.439;2374;1215;520;--
open;2326;6.1;13.590;423;416;340;320
oscar;2327;6.1;17.757;3638;--;4282;--
owner;2328;6.1;15.419;2926;2583;1165;--
practically;2329;6.1;12.330;--;2880;--;--
precise;2330;6.1;15.551;--;3549;--;--
release;2331;6.1;12.330;1248;2255;1488;1681
romans;2332;6.1;12.657;--;4682;--;--
security;2333;6.1;16.320;1556;945;469;3301
shade;2334;6.1;16.812;--;--;--;2059
shoulders;2335;6.1;12.164;--;3678;--;2511
soap;2336;6.1;10.738;3955;--;--;4885
springfield;2337;6.1;12.495;--;--;4733;--
start;2338;6.1;15.419;275;1129;615;271
telecommunications;2339;6.1;17.053;--;--;3747;--
tomorrow's;2340;6.1;11.650;--;--;--;--
trinity;2341;6.1;14.880;--;--;4012;--
western;2342;6.1;13.590;3704;729;1031;4043
window;2343;6.1;14.463;924;1539;2883;686
woof;2344;6.1;16.444;--;--;--;4558
yay;2345;6.1;19.717;492;--;--;3182
roam;2346;6.09;13.646;--;--;--;2307
dawning;2347;6.08;14.415;--;--;--;4937
choir;2348;6.08;18.009;--;--;--;3725
crops;2349;6.08;16.052;--;3667;--;--
elvis;2350;6.08;19.878;--;--;--;3361
significance;2351;6.08;12.721;--;1728;--;--
throne;2352;6.08;21.099;--;3576;--;2401
velocity;2353;6.08;10.376;--;2448;--;--
acquainted;2354;6.08;15.497;--;4927;--;--
ahead;2355;6.08;13.679;1263;2543;1266;886
alright;2356;6.08;13.068;1455;--;--;362
audiences;2357;6.08;10.467;--;--;4237;--
ball;2358;6.08;12.262;1232;2492;1512;854
belief;2359;6.08;14.405;--;1505;4370;3623
bff;2360;6.08;16.015;3774;--;--;--
boat;2361;6.08;14.824;2708;2218;2879;1626
boots;2362;6.08;13.679;2301;--;--;1693
california;2363;6.08;15.097;1805;1431;635;1663
centuries;2364;6.08;13.377;--;2129;--;--
cheaper;2365;6.08;17.594;4805;--;--;--
clue;2366;6.08;11.753;3648;--;--;2057
coat;2367;6.08;12.428;3371;3707;--;2045
consensus;2368;6.08;11.753;--;--;4992;--
contact;2369;6.08;0.9864;1842;1160;2041;3887
deserved;2370;6.08;14.961;4982;--;--;--
drive;2371;6.08;15.232;555;1815;1122;575
facebook;2372;6.08;19.361;486;--;--;--
freelance;2373;6.08;14.405;--;--;4017;--
greek;2374;6.08;12.591;4184;1424;3972;--
grown;2375;6.08;12.428;2372;2193;3090;1205
help;2376;6.08;14.686;230;391;337;305
housing;2377;6.08;14.405;4795;2359;993;--
instant;2378;6.08;11.220;2779;3801;--;4302
integrated;2379;6.08;13.068;--;3577;--;--
introduction;2380;6.08;10.069;--;1088;4740;--
legit;2381;6.08;11.753;4483;--;--;--
ma;2382;6.08;20.488;778;2088;1384;633
message;2383;6.08;11.220;983;1667;1340;1240
negotiate;2384;6.08;12.752;--;--;4211;--
neighbor;2385;6.08;13.827;4036;--;4349;--
neighborhoods;2386;6.08;14.686;--;--;3992;--
numerous;2387;6.08;11.925;--;1365;2616;--
our;2388;6.08;10.660;118;74;73;106
oven;2389;6.08;13.679;3690;--;--;--
picked;2390;6.08;12.095;1754;3495;3271;2006
reached;2391;6.08;12.591;4191;864;1137;2204
recognize;2392;6.08;14.119;4898;2373;2938;2061
recognized;2393;6.08;13.068;--;1610;3350;--
rider;2394;6.08;14.263;--;--;--;2944
shows;2395;6.08;10.467;792;701;931;1421
significantly;2396;6.08;0.9655;--;2718;4428;--
specialist;2397;6.08;15.365;--;--;3273;--
suggestions;2398;6.08;11.400;2162;4004;--;--
superior;2399;6.08;15.232;3336;1760;4257;--
tempo;2400;6.08;13.068;--;--;--;3073
tourists;2401;6.08;15.097;--;--;4713;--
ups;2402;6.08;16.517;2834;--;--;3965
validity;2403;6.08;11.578;--;3907;--;--
vehicle;2404;6.08;14.546;2149;3894;3148;--
votes;2405;6.08;15.758;4000;4343;2095;--
theories;2406;6.06;14.507;--;2261;--;--
associations;2407;6.06;15.733;--;3161;--;--
attachment;2408;6.06;15.194;--;4270;--;--
fluid;2409;6.06;12.317;--;2050;--;--
shells;2410;6.06;15.057;--;--;--;3855
1970s;2411;6.06;14.486;--;4679;--;--
adults;2412;6.06;13.001;4648;2782;2433;--
advocacy;2413;6.06;12.521;--;--;4707;--
bella;2414;6.06;12.191;4291;--;--;3460
brazilian;2415;6.06;14.486;4069;--;--;--
bueno;2416;6.06;15.572;3321;--;--;--
certain;2417;6.06;14.626;1905;252;917;1713
certainly;2418;6.06;13.463;2982;827;1380;--
combinations;2419;6.06;12.357;--;4948;--;--
composed;2420;6.06;12.521;--;2040;--;--
composition;2421;6.06;11.851;--;1783;--;--
couch;2422;6.06;12.022;2013;--;--;3451
created;2423;6.06;16.088;2105;1041;1118;2699
creek;2424;6.06;14.902;4837;3853;--;--
dimes;2425;6.06;12.191;--;--;--;4134
distinct;2426;6.06;12.357;--;1828;--;--
equal;2427;6.06;19.526;--;767;2812;4138
facts;2428;6.06;10.956;3668;1202;3618;2578
flight;2429;6.06;18.340;1173;2716;1632;1827
gaze;2430;6.06;14.902;--;--;--;2947
goodman;2431;6.06;11.323;--;--;4008;--
harbor;2432;6.06;14.486;--;--;2252;--
hey;2433;6.06;16.340;241;--;--;148
historian;2434;6.06;14.626;--;4623;3632;--
host;2435;6.06;13.614;2259;2616;2185;4810
icon;2436;6.06;12.683;3317;--;--;--
influences;2437;6.06;12.191;--;3274;--;--
instruments;2438;6.06;17.072;--;2628;4261;--
landmark;2439;6.06;10.184;--;--;4918;--
large;2440;6.06;12.683;1618;179;508;2893
latest;2441;6.06;13.614;724;4583;473;3957
leads;2442;6.06;10.956;2467;1968;2856;2149
legs;2443;6.06;13.001;2044;2674;--;1393
liverpool;2444;6.06;15.572;3989;--;--;--
magazines;2445;6.06;14.486;--;--;3798;4355
membership;2446;6.06;10.184;--;3091;3654;--
muscle;2447;6.06;13.311;4559;1994;--;4263
nation;2448;6.06;15.039;2238;939;537;1556
outlets;2449;6.06;10.382;--;--;2871;--
overseas;2450;6.06;15.308;--;--;3683;--
peanut;2451;6.06;13.311;2257;--;--;--
personal;2452;6.06;12.191;1153;526;676;3037
photoshop;2453;6.06;15.308;3156;--;--;--
preparation;2454;6.06;13.614;--;2073;--;--
quantities;2455;6.06;13.001;--;3158;--;--
racing;2456;6.06;17.427;3263;--;1014;3613
reflection;2457;6.06;13.911;--;3009;--;2455
representation;2458;6.06;12.843;--;1984;--;--
respective;2459;6.06;13.157;--;3727;--;--
see;2460;6.06;10.577;78;81;243;42
servings;2461;6.06;14.057;--;--;3199;--
shoes;2462;6.06;15.440;1172;4347;4120;753
slim;2463;6.06;14.902;4851;--;--;2421
sports;2464;6.06;22.352;1224;4074;213;--
starring;2465;6.06;13.001;--;--;4176;--
straight;2466;6.06;10.577;1107;1748;1823;477
talk;2467;6.06;10.577;340;986;763;249
towns;2468;6.06;11.502;--;2219;2106;--
updated;2469;6.06;12.357;1360;--;--;--
wood;2470;6.06;12.521;2859;1329;2149;1872
solving;2471;6.04;17.377;--;4762;--;--
bridges;2472;6.04;15.133;--;--;--;3030
climbing;2473;6.04;13.838;--;--;--;3441
geographical;2474;6.04;14.572;--;4731;--;--
skirt;2475;6.04;20.712;--;--;--;3735
1960s;2476;6.04;17.492;--;4882;--;--
academy;2477;6.04;13.395;4406;3207;1389;--
accompanying;2478;6.04;14.422;--;--;4736;--
acquired;2479;6.04;15.113;--;2162;1661;--
acting;2480;6.04;15.113;2266;2122;2065;1785
alumni;2481;6.04;10.294;--;--;4555;--
america's;2482;6.04;14.563;--;--;--;--
approaches;2483;6.04;13.087;--;2384;--;--
bass;2484;6.04;16.898;3579;--;3205;1737
beginning;2485;6.04;11.599;1957;682;1091;1338
bringing;2486;6.04;11.421;2225;2531;2772;1897
campus;2487;6.04;16.157;2449;--;2501;--
casino;2488;6.04;20.400;2277;--;3850;--
choices;2489;6.04;14.422;3873;4384;2953;3933
contributed;2490;6.04;12.115;--;3271;3136;--
exact;2491;6.04;12.282;4074;2657;--;--
expand;2492;6.04;11.421;--;--;2965;--
express;2493;6.04;0.9026;2515;1691;1467;3362
fave;2494;6.04;14.702;2324;--;--;--
feliz;2495;6.04;14.841;3999;--;--;3276
folks;2496;6.04;13.547;1094;--;--;1218
fund;2497;6.04;11.241;3588;2449;482;--
furniture;2498;6.04;11.599;3959;4393;3052;--
groove;2499;6.04;12.115;--;--;--;1290
hair;2500;6.04;13.991;430;1323;2851;528
hint;2501;6.04;15.903;4749;--;--;--
installed;2502;6.04;10.294;4066;--;4792;--
interactive;2503;6.04;13.845;4469;--;--;--
kitchen;2504;6.04;16.898;1489;3299;1543;1959
melbourne;2505;6.04;14.280;4764;--;--;--
mind;2506;6.04;12.771;270;303;1114;126
numbers;2507;6.04;11.421;2427;991;1507;2576
perspective;2508;6.04;10.294;4670;1990;4357;--
points;2509;6.04;14.702;1508;675;442;3591
prevention;2510;6.04;12.282;--;3870;4676;--
professor;2511;6.04;14.563;4563;1400;321;--
prospective;2512;6.04;12.115;--;--;4540;--
prospects;2513;6.04;10.683;--;--;4150;--
purple;2514;6.04;15.248;2196;--;--;2225
purpose;2515;6.04;11.599;2904;543;2862;3188
replied;2516;6.04;0.9681;4493;1768;3389;--
sauce;2517;6.04;13.991;2516;--;3676;--
signing;2518;6.04;14.841;3091;--;4586;--
sofa;2519;6.04;13.547;4929;--;--;--
supplies;2520;6.04;13.991;4214;2700;3583;--
tops;2521;6.04;10.872;4753;--;--;4678
transport;2522;6.04;12.930;--;2074;--;--
union;2523;6.04;13.991;2744;585;378;4165
visible;2524;6.04;0.8797;--;2326;4964;--
vocal;2525;6.04;15.513;--;--;4647;4931
washington;2526;6.04;12.115;1697;859;174;--
words;2527;6.04;11.945;687;302;1164;251
xp;2528;6.04;15.113;3022;--;--;--
carriage;2529;6.02;12.289;--;4764;--;--
beings;2530;6.02;12.498;--;2516;--;--
colored;2531;6.02;17.379;--;3839;--;--
considerations;2532;6.02;14.067;--;2696;--;--
nearest;2533;6.02;12.498;--;4902;--;--
porch;2534;6.02;16.006;--;--;--;2794
relate;2535;6.02;15.206;--;4051;--;3583
seventeenth;2536;6.02;11.813;--;4697;--;--
vibe;2537;6.02;14.789;--;--;--;2457
1980's;2538;6.02;17.437;--;--;--;--
acres;2539;6.02;13.169;--;3547;3682;--
aircraft;2540;6.02;14.068;--;3796;2657;--
amen;2541;6.02;18.789;2846;--;--;4085
basket;2542;6.02;10.784;2907;--;--;--
blog;2543;6.02;14.068;231;--;--;--
cards;2544;6.02;13.013;1305;3875;2592;1997
celebrity;2545;6.02;17.082;2092;--;--;--
christians;2546;6.02;20.151;--;2790;--;--
concepts;2547;6.02;12.856;--;2161;--;--
content;2548;6.02;16.224;1745;1021;4035;3987
creates;2549;6.02;14.356;--;4590;--;--
delivery;2550;6.02;14.356;2847;3024;2580;--
developing;2551;6.02;10.971;--;1628;2522;--
doll;2552;6.02;19.430;2430;--;--;2642
download;2553;6.02;13.476;824;--;--;--
eggs;2554;6.02;19.948;2348;3621;--;4786
engineers;2555;6.02;11.337;--;4116;4235;--
essential;2556;6.02;0.8919;4742;1079;3616;--
fixed;2557;6.02;10.593;2050;1163;--;4088
float;2558;6.02;14.068;--;--;--;2258
fridge;2559;6.02;11.156;3621;--;--;--
fund-raising;2560;6.02;17.437;--;--;--;--
inn;2561;6.02;12.370;4703;--;--;--
jam;2562;6.02;20.252;1856;--;--;1419
japanese;2563;6.02;15.713;2172;1264;1005;--
male;2564;6.02;13.626;2564;1280;3016;3108
monetary;2565;6.02;13.923;--;4322;4656;--
native;2566;6.02;14.068;--;1269;2406;--
newspapers;2567;6.02;14.637;--;3368;2798;--
objectives;2568;6.02;12.370;--;2894;--;--
pregnancy;2569;6.02;22.451;--;3622;--;--
presence;2570;6.02;10.593;4875;763;1928;2627
production;2571;6.02;12.036;3214;461;569;--
programs;2572;6.02;16.349;3849;1232;695;--
pub;2573;6.02;16.962;2841;--;--;--
quick;2574;6.02;16.349;576;2592;2563;857
rare;2575;6.02;17.201;2899;2120;2495;3508
records;2576;6.02;12.856;2559;1434;1061;1940
retire;2577;6.02;18.012;--;--;4863;--
simple;2578;6.02;14.637;1062;623;1943;860
sophisticated;2579;6.02;17.553;--;--;4179;--
teams;2580;6.02;11.692;2746;--;1368;--
totally;2581;6.02;11.156;565;3457;3942;3424
try;2582;6.02;0.9366;238;1017;769;151
unwind;2583;6.02;18.460;--;--;--;4458
voting;2584;6.02;13.775;2877;--;2405;--
walk;2585;6.02;15.451;591;1795;1776;212
will;2586;6.02;13.013;49;49;29;50
windows;2587;6.02;13.923;1074;2280;2416;1816
wondering;2588;6.02;13.476;852;--;--;1236
writes;2589;6.02;13.775;--;2868;1446;--
xoxo;2590;6.02;17.082;1871;--;--;--
rains;2591;6.01;18.722;--;--;--;2663
1990's;2592;6;15.779;--;--;--;--
act;2593;6;12.936;1119;292;905;671
adapted;2594;6;14.142;--;3561;--;--
alliance;2595;6;16.537;--;3227;2465;--
allow;2596;6;14.708;2622;1157;1085;3135
applicable;2597;6;10.302;--;3829;--;--
archives;2598;6;14.425;--;4712;--;--
attend;2599;6;0.9689;3178;3180;2667;--
attending;2600;6;11.066;4246;--;4225;--
automatic;2601;6;14.732;--;4641;--;2993
automatically;2602;6;15.584;--;4966;--;--
avatar;2603;6;16.288;1193;--;--;--
beans;2604;6;16.537;3168;--;--;4537
beliefs;2605;6;15.138;--;3068;--;--
bien;2606;6;14.428;3059;--;--;1239
biggest;2607;6;13.248;1225;--;1583;2480
brew;2608;6;16.330;--;--;--;4408
brook;2609;6;16.413;--;--;3539;--
cambridge;2610;6;14.846;--;1547;2226;--
concentrations;2611;6;12.882;--;3837;--;--
conscience;2612;6;13.401;--;3350;--;2590
continent;2613;6;12.289;--;3914;--;--
crimson;2614;6;15.138;--;--;--;4237
eighteenth;2615;6;14.142;--;3360;--;--
exactly;2616;6;17.143;1157;1574;2352;1611
extend;2617;6;0.9035;--;3071;939;--
favor;2618;6;20.603;619;2425;2179;2533
finale;2619;6;16.162;4007;--;--;--
find;2620;6;15.779;214;240;419;129
fireplace;2621;6;18.844;--;--;3681;--
fixing;2622;6;10.690;4458;--;--;--
glance;2623;6;11.780;--;4368;--;3106
global;2624;6;14.846;1495;2191;1560;--
ha;2625;6;15.649;411;3781;--;434
hands;2626;6;14.846;977;510;1542;265
heating;2627;6;15.779;--;4451;--;--
indeed;2628;6;11.952;1714;469;1360;2896
integral;2629;6;13.093;--;4699;--;--
itunes;2630;6;18.952;1145;--;--;--
japan;2631;6;13.093;2433;1481;982;4945
jenny;2632;6;16.811;--;--;--;4351
king's;2633;6;18.626;--;2652;--;--
lawn;2634;6;12.289;3868;--;4398;4020
lighting;2635;6;14.428;4756;--;2353;--
likewise;2636;6;12.454;--;2816;--;--
lmfao;2637;6;21.285;1001;--;--;--
make;2638;6;0.9897;86;127;127;61
meaning;2639;6;10.498;2640;747;2844;1462
mega;2640;6;16.413;3985;--;--;--
metals;2641;6;13.540;--;4125;--;--
mucho;2642;6;12.617;3828;--;--;3016
nations;2643;6;15.518;--;1011;681;4204
network;2644;6;12.778;991;1536;1136;--
olive;2645;6;11.429;4172;--;--;--
opened;2646;6;12.289;2462;1299;1312;1632
oregon;2647;6;11.780;4520;--;4439;--
owns;2648;6;12.936;--;--;2063;--
participants;2649;6;10.302;--;3415;3847;--
pilot;2650;6;10.690;3948;4983;3377;--
principle;2651;6;14.846;--;818;3855;--
religion;2652;6;18.295;3865;773;3056;2360
result;2653;6;11.606;2961;360;888;--
service;2654;6;11.606;710;354;150;3671
sights;2655;6;14.983;--;--;--;3502
sites;2656;6;11.606;1782;2198;1885;--
sponsor;2657;6;14.142;--;--;4896;--
started;2658;6;10.690;560;1057;947;572
stereo;2659;6;12.936;--;--;--;3145
stores;2660;6;0.9689;2630;3589;999;--
successor;2661;6;14.428;--;--;4616;--
survive;2662;6;17.957;3209;4197;2973;977
surviving;2663;6;17.496;--;--;2199;--
today's;2664;6;0.9897;--;--;--;--
tuned;2665;6;0.9689;3629;--;--;--
virgin;2666;6;15.779;2189;--;--;3250
vista;2667;6;13.851;3577;--;--;--
walked;2668;6;0.9897;1825;1945;2684;716
2-car;2669;5.98;14.213;--;--;--;--
action;2670;5.98;14.213;1264;326;757;1566
afternoon;2671;5.98;12.370;831;2376;1645;2138
anytime;2672;5.98;12.534;3042;--;--;1718
attempting;2673;5.98;0.9998;--;4560;--;--
audience;2674;5.98;14.356;3911;2071;1332;--
august;2675;5.98;14.356;4031;1081;543;--
author;2676;5.98;13.923;3084;904;362;--
awww;2677;5.98;17.784;1268;--;--;--
bbc;2678;5.98;12.534;1381;--;--;--
began;2679;5.98;0.9581;--;452;550;1531
biography;2680;5.98;14.497;--;--;3013;--
broadcast;2681;5.98;12.856;4704;--;2317;--
canada;2682;5.98;15.318;1176;1758;1720;--
communities;2683;5.98;13.169;--;1935;2600;--
contributor;2684;5.98;13.476;--;--;1626;--
creatures;2685;5.98;13.775;--;4230;--;3733
declaration;2686;5.98;12.204;--;3111;--;--
dell;2687;5.98;14.068;3776;--;--;--
dialogue;2688;5.98;12.370;--;4045;4160;--
drum;2689;5.98;13.775;--;--;--;1881
ebook;2690;5.98;14.356;4192;--;--;--
egg;2691;5.98;14.356;1688;4556;--;--
explained;2692;5.98;13.169;--;1571;2818;--
fabric;2693;5.98;10.971;4616;--;--;--
father-in-law;2694;5.98;18.125;--;--;--;--
feature;2695;5.98;11.692;2398;1985;2770;--
ferry;2696;5.98;12.856;--;--;3530;--
fingertips;2697;5.98;11.337;--;--;--;4648
flash;2698;5.98;10.398;1770;--;--;1918
flights;2699;5.98;18.897;4414;--;3352;--
folk;2700;5.98;14.356;3899;3833;3793;4027
gathered;2701;5.98;13.169;--;3032;4441;3924
grammys;2702;5.98;14.497;4637;--;--;--
heh;2703;5.98;12.696;2673;--;--;3553
